TEMPERATURA,UMIDADE,PRESSÃO RELATIVA,PRESSÃO ABSOLUTA,LUMINOSIDADE,TIMER,RSSI INTERNET_NODO,NODE_NETWORK_INFO,GATEWAY_NETWORK_INFO,RSSI INTERNET_GATEWAY,timestamp
15.7,77,1015.1,1018.35,806,2114,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:25:10
15.7,77,1015.1,1018.35,806,2114,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:25:27
15.7,77,1015.1,1018.36,804,2109,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:25:44
15.7,77,1015.1,1018.36,804,2109,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:26:00
15.7,77,1015.1,1018.36,804,2109,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:26:18
15.7,77,1015.15,1018.4,807,9551,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:26:35
15.7,77,1015.15,1018.4,807,9551,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:26:52
15.7,77,1015.07,1018.33,811,2091,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:27:09
15.7,77,1015.07,1018.33,811,2091,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:27:29
15.7,77,1015.16,1018.42,802,2114,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:27:46
15.7,77,1015.16,1018.34,806,2141,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:28:04
15.7,77,1015.09,1018.34,806,2141,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:28:21
15.7,77,1015.09,1018.34,806,2141,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:28:38
15.7,77,1015.09,1018.34,806,2141,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:28:55
15.7,77,1015.13,1018.38,802,2102,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:29:11
15.7,77,1015.13,1018.38,802,2102,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:29:28
15.7,77,1015.13,1018.39,802,2133,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:29:44
15.7,77,1015.13,1018.39,802,2133,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:30:00
15.7,77,1015.08,1018.33,802,9514,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:30:18
15.7,77,1015.08,1018.33,802,9514,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:30:35
15.7,77,1015.09,1018.34,804,2101,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:30:53
15.7,77,1015.09,1018.34,804,2101,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:31:11
15.7,77,1015.04,1018.3,808,2101,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:31:27
15.7,77,1015.04,1018.3,808,2101,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:31:44
15.7,77,1015.03,1018.28,808,2112,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:32:00
15.7,77,1015.05,1018.31,802,2111,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:32:16
15.7,77,1015.05,1018.31,802,2111,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:32:34
15.7,77,1015.03,1018.28,808,2100,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:32:50
15.7,77,1015.03,1018.28,808,2100,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:33:07
15.7,77,1015.03,1018.29,804,2101,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:33:23
15.7,77,1015.03,1018.29,804,2101,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:33:40
15.7,77,1014.96,1018.21,807,2131,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:33:56
15.7,77,1014.96,1018.21,807,2131,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:34:13
15.7,77,1014.96,1018.21,807,2131,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:34:29
15.7,76,1014.97,1018.22,802,2140,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:34:46
15.7,76,1014.97,1018.22,802,2140,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:35:03
15.7,76,1014.97,1018.22,802,2140,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:35:20
15.7,77,1014.9,1018.15,802,2141,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:35:36
15.7,77,1014.9,1018.15,802,2141,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:35:52
15.7,77,1015.03,1018.28,806,2104,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:36:09
15.7,77,1015.03,1018.28,806,2104,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:36:26
15.7,77,1014.94,1018.2,810,2142,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:36:42
15.7,77,1014.94,1018.2,810,2142,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:36:58
15.2,77,1014.94,1018.2,802,2091,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:37:14
15.2,77,1014.94,1018.2,802,2091,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:37:31
15.2,77,1014.97,1018.23,805,9518,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:37:47
15.2,77,1014.97,1018.23,805,9518,100,"100%, ch4 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:38:03
15.2,77,1014.89,1018.14,807,2113,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:38:19
15.2,77,1014.89,1018.14,807,2113,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:38:35
15.2,77,1014.89,1018.27,805,2110,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:38:52
15.2,77,1015.02,1018.27,805,2110,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:39:08
15.2,77,1014.98,1018.23,802,2123,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:39:25
15.2,77,1014.98,1018.23,802,2123,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:39:43
15.2,77,1014.92,1018.18,810,2106,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:40:00
15.2,77,1014.92,1018.18,810,2106,100,"100%, ch1 / 100%, ch4","100%, ch1 / 100%, ch4",100,2024-07-11 01:40:16
